laptop_ID,Company,Product,TypeName,Inches,Resolution_X,Resolution_Y,cat_resolution,Is_touch,CPU_Brand,CPU_Model,SSD,HDD,CPU_Frec,Ram,GPU_Brand,GPU_Model,Is_GPU_dedicated,OpSys,Weight,Price_euros
596,Asus,ROG Strix,Gaming,17.3,1920,1080,Full HD,0,Intel,Core i5 7300HQ,128.0,1024,2.5,8.0,Nvidia,GeForce GTX 1060,1,Windows,2.73,1770.0
674,Dell,Latitude 3580,Notebook,15.6,1920,1080,Full HD,0,Intel,Core i5 7200U,0.0,1024,2.5,8.0,Intel,HD Graphics 620,0,Windows,2.06,955.0
630,Fujitsu,LifeBook A557,Notebook,15.6,1366,768,HD,0,Intel,Core i5 7200U,256.0,0,2.5,8.0,Intel,HD Graphics 620,0,Windows,2.2,799.0
1264,Dell,Latitude 5480,Notebook,14.0,1366,768,HD,0,Intel,Core i5 7200U,0.0,500,2.5,4.0,Intel,HD Graphics 620,0,Windows,1.6,875.0
899,Acer,Chromebook C731-C78G,Netbook,11.6,1366,768,HD,0,Intel,Celeron Dual Core N3060,0.0,0,1.6,4.0,Intel,HD Graphics 400,0,Chrome OS,1.25,297.0
612,MSI,GS63VR 7RF,Gaming,15.6,3840,2160,4K UHD,0,Intel,Core i7 7700HQ,256.0,2048,2.8,14.0,Nvidia,GeForce GTX 1060,1,Windows,1.8,2299.0
1182,HP,250 G4,Notebook,15.6,1366,768,HD,0,Intel,Core i5 6200U,0.0,500,2.3,4.0,Intel,HD Graphics 520,0,Chrome OS,2.1,476.99
988,Asus,Rog Strix,Gaming,17.3,1920,1080,Full HD,0,Intel,Core i7 7700HQ,256.0,1024,2.8,14.0,Nvidia,GeForce GTX 1060,1,Windows,2.73,2049.9
1123,HP,15-bw011nv (A6-9220/4GB/1TB/FHD/W10),Notebook,15.6,1920,1080,Full HD,0,AMD,A6-Series 9220,0.0,1024,2.5,4.0,AMD,Radeon R4,1,Windows,2.1,398.0
835,Asus,ZenBook Flip,Convertible,13.3,1920,1080,Full HD,1,Intel,Core i5 7200U,256.0,0,2.5,8.0,Intel,HD Graphics 620,0,Windows,1.1,1358.0
1008,Dell,Inspiron 5378,Convertible,13.3,1920,1080,Full HD,1,Intel,Core i5 7200U,256.0,0,2.5,8.0,Intel,HD Graphics 620,0,Windows,1.68,889.0
323,HP,ProBook 640,Notebook,14.0,1920,1080,Full HD,0,Intel,Core i5 7200U,256.0,0,2.5,8.0,Intel,HD Graphics 620,0,Windows,1.95,980.0
833,Lenovo,ThinkPad X1,Ultrabook,14.0,1920,1080,Full HD,0,Intel,Core i5 7200U,0.0,0,2.5,8.0,Intel,HD Graphics 620,0,Windows,1.13,1875.0
179,Dell,Inspiron 3567,Notebook,15.6,1366,768,HD,0,Intel,Core i3 7100U,0.0,1024,2.4,8.0,Intel,HD Graphics 620,0,Windows,2.3,459.0
175,HP,17-bs001nv (i5-7200U/6GB/2TB/Radeon,Notebook,17.3,1920,1080,Full HD,0,Intel,Core i5 7200U,0.0,2048,2.5,6.0,AMD,Radeon 520,1,Windows,2.71,699.0
804,Lenovo,ThinkPad X1,Convertible,14.0,2560,1440,QHD,1,Intel,Core i5 7200U,256.0,0,2.5,8.0,Intel,HD Graphics 620,0,Windows,1.42,2330.0
1265,Asus,Rog GL502VS,Gaming,15.6,1920,1080,Full HD,0,Intel,Core i7 6700HQ,256.0,1024,2.6,14.0,Nvidia,GeForce GTX 1070,1,Windows,2.34,2325.0
383,Dell,Inspiron 3552,Notebook,15.6,1366,768,HD,0,Intel,Celeron Dual Core N3060,0.0,500,1.6,4.0,Intel,HD Graphics 400,0,Windows,1.8,309.0
1212,Dell,Inspiron 7378,Convertible,13.3,1920,1080,Full HD,1,Intel,Core i5 7200U,256.0,0,2.5,8.0,Intel,HD Graphics 620,0,Windows,1.6,1199.0
554,Lenovo,V310-15ISK (i5-6200U/4GB/1TB/FHD/No,Notebook,15.6,1920,1080,Full HD,0,Intel,Core i5 6200U,0.0,1024,2.3,4.0,Intel,HD Graphics 520,0,Chrome OS,2.15,462.35
266,Lenovo,IdeaPad 320-15ISK,Notebook,15.6,1920,1080,Full HD,0,Intel,Core i3 6006U,256.0,0,2.0,4.0,Intel,HD Graphics 520,0,Chrome OS,2.2,444.0
648,Lenovo,Legion Y520-15IKBN,Gaming,15.6,1920,1080,Full HD,0,Intel,Core i7 7700HQ,128.0,1024,2.8,8.0,Nvidia,GeForce GTX 1050M,1,Windows,2.5,1109.0
108,HP,Pavilion 14-BK001nv,Notebook,14.0,1920,1080,Full HD,0,Intel,Core i5 7200U,256.0,0,2.5,6.0,Nvidia,GeForce 940MX,1,Windows,1.58,659.0
849,Asus,Rog GL702VM-GC017T,Gaming,17.3,1920,1080,Full HD,0,Intel,Core i7 6700HQ,512.0,1024,2.6,14.0,Nvidia,GeForce GTX 1060,1,Windows,2.73,1799.0
577,HP,ZBook 17,Workstation,17.3,1600,900,HD,0,Intel,Core i5 7440HQ,0.0,500,2.8,8.0,Nvidia,Quadro M1200,1,Windows,3.14,1860.99
761,Asus,X550VX-XX015D (i5-6300HQ/4GB/1TB/GeForce,Notebook,15.6,1366,768,HD,0,Intel,Core i5 6300HQ,0.0,1024,2.3,4.0,Nvidia,GeForce GTX 950M,1,Chrome OS,2.45,579.0
45,Dell,Inspiron 7773,Convertible,17.3,1920,1080,Full HD,1,Intel,Core i5 8250U,0.0,1024,1.6,12.0,Nvidia,GeForce 150MX,1,Windows,2.77,999.0
495,Lenovo,Thinkpad X270,Ultrabook,12.5,1920,1080,Full HD,0,Intel,Core i7 7500U,512.0,0,2.7,14.0,Intel,HD Graphics 620,0,Windows,1.36,1798.0
283,Lenovo,IdeaPad 320-17ISK,Notebook,17.3,1600,900,HD,0,Intel,Core i3 6006U,0.0,1024,2.0,4.0,Intel,HD Graphics 520,0,Windows,2.8,489.0
874,Lenovo,Legion Y520-15IKBN,Gaming,15.6,1920,1080,Full HD,0,Intel,Core i5 7300HQ,0.0,1024,2.5,8.0,Nvidia,GeForce GTX 1050,1,Chrome OS,2.5,1017.0
308,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,1366,768,HD,0,Intel,Core i5 7200U,0.0,2048,2.5,8.0,Nvidia,GeForce 940MX,1,Chrome OS,2.2,549.0
567,Acer,Spin SP111-31,Convertible,11.6,1920,1080,Full HD,1,Intel,Celeron Dual Core N3350,0.0,0,2.0,4.0,Intel,HD Graphics 500,0,Windows,1.25,349.0
718,Lenovo,Legion Y520-15IKBN,Gaming,15.6,1920,1080,Full HD,0,Intel,Core i7 7700HQ,128.0,1024,2.8,8.0,Nvidia,GeForce GTX 1050 Ti,1,Windows,2.5,1249.0
1242,Dell,Inspiron 5578,Convertible,15.0,1920,1080,Full HD,1,Intel,Core i3 7100U,0.0,500,2.4,4.0,Intel,HD Graphics 620,0,Windows,2.08,509.0
351,Lenovo,Legion Y520-15IKBN,Gaming,15.6,1920,1080,Full HD,0,Intel,Core i7 7700HQ,256.0,2048,2.8,14.0,Nvidia,GeForce GTX 1050 Ti,1,Windows,2.4,1129.0
1049,HP,EliteBook 820,Ultrabook,12.5,1920,1080,Full HD,0,Intel,Core i7 6500U,256.0,0,2.5,8.0,Intel,HD Graphics 520,0,Windows,1.26,1349.0
796,Lenovo,Legion Y520-15IKBN,Gaming,15.6,1920,1080,Full HD,0,Intel,Core i7 7700HQ,0.0,1024,2.8,4.0,Nvidia,GeForce GTX 1050,1,Windows,2.4,999.0
311,HP,EliteBook x360,Convertible,13.3,1920,1080,Full HD,1,Intel,Core i7 7600U,256.0,0,2.8,14.0,Intel,HD Graphics 620,0,Windows,1.28,1975.0
345,Dell,Inspiron 7570,Notebook,15.6,1920,1080,Full HD,0,Intel,Core i5 8250U,256.0,0,1.6,8.0,Nvidia,GeForce 940MX,1,Windows,2.0,1142.75
150,Asus,X541NA (N3350/4GB/1TB/FHD/W10),Notebook,15.6,1920,1080,Full HD,0,Intel,Celeron Dual Core N3350,0.0,1024,1.1,4.0,Intel,HD Graphics 500,0,Windows,2.0,344.0
248,Dell,Inspiron 5577,Gaming,15.6,1920,1080,Full HD,0,Intel,Core i5 7300HQ,256.0,0,2.5,8.0,Nvidia,GeForce GTX 1050,1,Windows,2.56,879.0
155,Lenovo,V110-15IKB (i5-7200U/4GB/128GB/W10),Notebook,15.6,1366,768,HD,0,Intel,Core i5 7200U,128.0,0,2.5,4.0,Intel,HD Graphics 620,0,Windows,1.9,498.0
491,Lenovo,ThinkPad E570,Notebook,15.6,1366,768,HD,0,Intel,Core i3 6006U,128.0,0,2.0,4.0,Intel,HD Graphics 520,0,Windows,2.3,565.0
840,Lenovo,Thinkpad X1,Ultrabook,14.0,2560,1440,QHD,0,Intel,Core i7 6600U,512.0,0,2.6,14.0,Intel,HD Graphics 520,0,Windows,1.1,2099.0
158,HP,15-BS103nv (i5-8250U/6GB/256GB/Radeon,Notebook,15.6,1920,1080,Full HD,0,Intel,Core i5 8250U,256.0,0,1.6,6.0,AMD,Radeon 520,1,Windows,1.91,619.0
1221,Dell,XPS 13,Ultrabook,13.3,3200,1800,QHD,1,Intel,Core i7 7500U,512.0,0,2.7,14.0,Intel,HD Graphics 620,0,Windows,1.2,2680.0
268,Dell,Vostro 3568,Notebook,15.6,1920,1080,Full HD,0,Intel,Core i5 7200U,0.0,1024,2.5,4.0,Intel,HD Graphics 620,0,Windows,2.18,657.0
54,HP,ProBook 430,Notebook,13.3,1920,1080,Full HD,0,Intel,Core i7 8550U,512.0,0,1.8,8.0,Intel,UHD Graphics 620,0,Windows,1.49,1103.0
632,Lenovo,IdeaPad 320-15IKB,Notebook,15.6,1920,1080,Full HD,0,Intel,Core i7 7500U,0.0,1024,2.7,8.0,Nvidia,GeForce 920MX,1,Windows,2.2,899.0
49,Dell,Inspiron 3567,Notebook,15.6,1920,1080,Full HD,0,Intel,Core i5 7200U,256.0,0,2.5,4.0,AMD,Radeon R5 M430,1,Windows,2.3,639.0
1110,Acer,Aspire F5-573G,Notebook,15.6,1920,1080,Full HD,0,Intel,Core i5 7200U,256.0,1024,2.5,8.0,Nvidia,GeForce GTX 950M,1,Windows,2.4,799.0
979,Dell,Inspiron 3567,Notebook,15.6,1366,768,HD,0,Intel,Core i3 6006U,0.0,1024,2.0,4.0,AMD,Radeon R5 M430,1,Linux,2.25,465.62
1015,HP,ENVY -,Notebook,13.3,1920,1080,Full HD,0,Intel,Core i5 7200U,256.0,0,2.5,8.0,Intel,HD Graphics 620,0,Windows,1.34,1189.0
691,HP,17-bs000nv I3,Notebook,17.3,1920,1080,Full HD,0,Intel,Core i3 6006U,256.0,0,2.0,4.0,AMD,Radeon R5 520,1,Windows,2.5,699.0
183,HP,Spectre x360,Convertible,13.3,3840,2160,4K UHD,1,Intel,Core i5 8250U,256.0,0,1.6,8.0,Intel,UHD Graphics 620,0,Windows,1.29,1499.0
494,Dell,XPS 15,Notebook,15.6,1920,1080,Full HD,0,Intel,Core i7 7700HQ,512.0,0,2.8,14.0,Nvidia,GeForce GTX 1050,1,Windows,2.06,1899.0
215,Acer,Aspire 7,Notebook,15.6,1920,1080,Full HD,0,Intel,Core i7 7700HQ,0.0,1024,2.8,8.0,Nvidia,GeForce GTX 1050,1,Linux,2.4,779.0
1106,HP,250 G6,Notebook,15.6,1366,768,HD,0,Intel,Core i3 6006U,0.0,1024,2.0,4.0,Intel,HD Graphics 520,0,Chrome OS,1.86,345.99
251,HP,15-bs015dx (i5-7200U/8GB/1TB/W10),Notebook,15.6,1366,768,HD,1,Intel,Core i5 7200U,0.0,1024,2.5,8.0,Intel,HD Graphics 620,0,Windows,2.04,559.0
646,Lenovo,Thinkpad Yoga,Convertible,13.3,1920,1080,Full HD,1,Intel,Core i7 7500U,256.0,0,2.7,8.0,Intel,HD Graphics 620,0,Windows,1.37,1757.42
862,Asus,Rog GL502VM-DS74,Gaming,15.6,1920,1080,Full HD,0,Intel,Core i7 7700HQ,128.0,1024,2.8,14.0,Nvidia,GeForce GTX 1060,1,Windows,2.1,1899.0
423,Dell,Latitude 3380,Notebook,13.3,1366,768,HD,0,Intel,Core i3 6006U,128.0,0,2.0,4.0,Intel,HD Graphics 520,0,Windows,1.65,689.0
911,Dell,Latitude 5580,Notebook,15.6,1920,1080,Full HD,0,Intel,Core i5 7300U,0.0,500,2.6,8.0,Intel,HD Graphics 620,0,Windows,1.9,935.0
769,Lenovo,Legion Y520-15IKBN,Gaming,15.6,1920,1080,Full HD,0,Intel,Core i7 7700HQ,128.0,1024,2.8,8.0,Nvidia,GeForce GTX 1050,1,Windows,2.5,1048.0
705,Asus,Chromebook Flip,Convertible,12.5,1920,1080,Full HD,1,Intel,Core M M3-6Y30,0.0,0,0.9,4.0,Intel,HD Graphics 515,0,Chrome OS,1.2,669.0
1053,HP,ProBook 440,Notebook,14.0,1920,1080,Full HD,0,Intel,Core i5 7200U,256.0,0,2.5,8.0,Intel,HD Graphics 620,0,Windows,1.64,1010.51
954,HP,Omen 17-W006na,Gaming,17.3,1920,1080,Full HD,0,Intel,Core i5 6300HQ,128.0,1024,2.3,8.0,Nvidia,GeForce GTX 965M,1,Windows,2.75,1399.0
1012,Asus,Rog GL553VE-DS74,Gaming,15.6,1920,1080,Full HD,0,Intel,Core i7 7700HQ,256.0,1024,2.8,14.0,Nvidia,GeForce GTX 1050 Ti,1,Windows,2.5,1799.0
298,Dell,XPS 15,Notebook,15.6,1920,1080,Full HD,0,Intel,Core i7 7700HQ,256.0,0,2.8,8.0,Nvidia,GeForce GTX 1050,1,Windows,2.0,1829.0
1226,Acer,Aspire E5-774G,Notebook,17.3,1600,900,HD,0,Intel,Core i3 6006U,0.0,1024,2.0,8.0,Nvidia,GeForce 940MX,1,Windows,3.3,629.0
1213,HP,Pavilion Power,Notebook,15.6,1920,1080,Full HD,0,Intel,Core i7 7700HQ,128.0,1024,2.8,12.0,Nvidia,GeForce GTX 1050,1,Windows,2.21,1327.0
163,Toshiba,Satellite Pro,Notebook,15.6,1366,768,HD,0,Intel,Core i3 6006U,0.0,500,2.2,4.0,Intel,HD Graphics 520,0,Windows,2.1,447.0
1204,Dell,Inspiron 5578,Convertible,15.6,1920,1080,Full HD,1,Intel,Core i7 7500U,512.0,0,2.7,14.0,Intel,HD Graphics 620,0,Windows,2.09,1179.0
474,Dell,Inspiron 5570,Notebook,15.6,1920,1080,Full HD,0,Intel,Core i5 8250U,0.0,2048,1.6,8.0,AMD,Radeon 530,1,Windows,2.02,759.0
25,HP,15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),Ultrabook,15.6,1920,1080,Full HD,0,Intel,Core i7 8550U,256.0,0,1.8,8.0,Intel,HD Graphics 620,0,Windows,1.91,659.0
376,Asus,ZenBook Flip,Convertible,15.6,1920,1080,Full HD,1,Intel,Core i7 7500U,512.0,2048,2.7,12.0,Nvidia,GeForce GT 940MX,1,Windows,2.26,1099.0
958,Lenovo,Yoga 700-11ISK,Convertible,11.3,1920,1080,Full HD,1,Intel,Core M m7-6Y75,256.0,0,1.2,8.0,Intel,HD Graphics 515,0,Windows,1.1,1299.0
1300,HP,Stream 11-Y000na,Netbook,11.6,1366,768,HD,0,Intel,Celeron Dual Core N3060,0.0,0,1.6,2.0,Intel,HD Graphics 400,0,Windows,1.17,209.0
70,Lenovo,V310-15ISK (i5-7200U/4GB/1TB/FHD/W10),Notebook,15.6,1920,1080,Full HD,0,Intel,Core i5 7200U,0.0,1024,2.5,4.0,Intel,HD Graphics 620,0,Windows,1.9,549.0
580,Lenovo,Thinkpad E570,Notebook,15.6,1920,1080,Full HD,0,Intel,Core i5 7200U,256.0,0,2.5,8.0,Intel,HD Graphics 620,0,Windows,2.3,830.0
625,MSI,GT62VR 7RE,Gaming,15.6,1920,1080,Full HD,0,Intel,Core i7 7700HQ,256.0,1024,2.8,14.0,Nvidia,GeForce GTX 1070,1,Windows,2.94,2267.86
1263,Asus,Rog GL553VE-FY052T,Gaming,15.6,1920,1080,Full HD,0,Intel,Core i7 7700HQ,256.0,1024,2.8,14.0,Nvidia,GeForce GTX 1050 Ti,1,Windows,2.5,1600.0
473,Acer,Aspire 5,Notebook,15.6,1366,768,HD,0,Intel,Core i3 6006U,0.0,500,2.0,4.0,Nvidia,GeForce GTX 940MX,1,Windows,2.2,469.0
391,Lenovo,Thinkpad X1,Ultrabook,14.0,2560,1440,QHD,0,Intel,Core i7 7500U,512.0,0,2.7,8.0,Intel,HD Graphics 620,0,Windows,1.13,2282.0
1128,HP,Spectre Pro,Ultrabook,13.3,1920,1080,Full HD,0,Intel,Core i7 6500U,512.0,0,2.5,8.0,Intel,HD Graphics 520,0,Windows,1.16,1969.0
295,Acer,Chromebook C910-C2ST,Notebook,15.6,1366,768,HD,0,Intel,Celeron Dual Core 3205U,16.0,0,1.5,2.0,Intel,HD Graphics,0,Chrome OS,2.19,199.0
364,Dell,Inspiron 3567,Notebook,15.6,1366,768,HD,1,Intel,Core i5 7200U,0.0,2048,2.5,8.0,Intel,HD Graphics 620,0,Windows,2.36,557.37
924,HP,Elitebook Folio,Ultrabook,12.5,3840,2160,4K UHD,1,Intel,Core M 6Y75,240.0,0,1.2,8.0,Intel,HD Graphics 515,0,Windows,1.09,2787.0
1001,Lenovo,Legion Y520-15IKBN,Gaming,15.6,1920,1080,Full HD,0,Intel,Core i7 7700HQ,128.0,1024,2.8,8.0,Nvidia,GeForce GTX 1060,1,Windows,2.5,1189.0
373,Lenovo,Legion Y520-15IKBN,Gaming,15.6,1920,1080,Full HD,0,Intel,Core i5 7300HQ,128.0,1024,2.5,8.0,Nvidia,GeForce GTX 1050,1,Chrome OS,2.4,809.0
1016,Dell,Vostro 3568,Notebook,15.6,1366,768,HD,0,Intel,Core i3 7100U,128.0,0,2.4,4.0,Intel,HD Graphics 620,0,Windows,2.18,547.0
453,Acer,Aspire ES1-572,Notebook,15.6,1366,768,HD,0,Intel,Core i5 7200U,0.0,500,2.5,4.0,Intel,HD Graphics 620,0,Linux,2.4,441.8
154,Dell,Inspiron 7567,Gaming,15.6,1920,1080,Full HD,0,Intel,Core i7 7700HQ,0.0,0,2.8,8.0,Nvidia,GeForce GTX 1050,1,Windows,2.62,899.0
325,HP,Elitebook 840,Notebook,14.0,1920,1080,Full HD,0,Intel,Core i7 7500U,256.0,0,2.7,8.0,Intel,HD Graphics 620,0,Windows,1.48,1292.0
609,Acer,Aspire 1,Notebook,14.0,1920,1080,Full HD,0,Intel,Celeron Quad Core N3450,0.0,0,1.1,4.0,Intel,HD Graphics 500,0,Windows,1.6,329.0
807,Lenovo,Yoga 910-13IKB,Convertible,13.9,1920,1080,Full HD,1,Intel,Core i7 7500U,256.0,0,2.7,8.0,Intel,HD Graphics 620,0,Windows,1.38,1349.0
265,Dell,Inspiron 5770,Notebook,17.3,1920,1080,Full HD,0,Intel,Core i7 8550U,128.0,1024,1.8,8.0,AMD,Radeon 530,1,Windows,2.8,1142.0
500,Acer,Aspire 5,Notebook,15.6,1366,768,HD,0,AMD,A10-Series 9620P,0.0,1024,2.5,8.0,AMD,Radeon RX 540,1,Windows,2.2,579.0
377,Acer,Aspire 3,Notebook,15.6,1366,768,HD,0,AMD,A9-Series 9420,128.0,0,3.0,4.0,AMD,Radeon R5,1,Windows,2.1,426.0
186,Lenovo,Yoga 920-13IKB,Convertible,13.9,3840,2160,4K UHD,1,Intel,Core i7 8550U,512.0,0,1.8,14.0,Intel,UHD Graphics 620,0,Windows,1.4,1849.0
28,Dell,Inspiron 5570,Notebook,15.6,1920,1080,Full HD,0,Intel,Core i5 8250U,256.0,0,1.6,8.0,AMD,Radeon 530,1,Windows,2.2,800.0
264,Lenovo,Yoga 720-15IKB,Convertible,15.6,1920,1080,Full HD,1,Intel,Core i7 7700HQ,512.0,0,2.8,8.0,Nvidia,GeForce GTX 1050M,1,Windows,2.0,1699.0
173,HP,ProBook 430,Notebook,13.3,1920,1080,Full HD,0,Intel,Core i5 8250U,0.0,500,1.6,4.0,Intel,UHD Graphics 620,0,Windows,1.49,754.0
734,Dell,Inspiron 5570,Notebook,15.6,1920,1080,Full HD,0,Intel,Core i5 8250U,128.0,1024,1.6,8.0,AMD,Radeon 530,1,Windows,2.2,719.0
71,Asus,FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce,Gaming,17.3,1920,1080,Full HD,0,Intel,Core i7 7700HQ,0.0,1024,2.8,12.0,Nvidia,GeForce GTX 1050 Ti,1,Linux,3.0,949.0
546,Lenovo,Thinkpad E470,Notebook,14.0,1920,1080,Full HD,0,Intel,Core i7 7500U,256.0,0,2.7,8.0,Nvidia,GeForce 940MX,1,Windows,1.87,859.0
1108,Dell,Inspiron 5370,Ultrabook,13.3,1920,1080,Full HD,0,Intel,Core i5 8250U,256.0,0,1.6,4.0,AMD,Radeon 530,1,Windows,1.4,818.35
